cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
5,combined_with,"['combined_with', 'complies_with', 'includes_component']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 22, 'ratio': 0.7097}, {'type_id': 5, 'label': 'thermo-mechanical rolling', 'count': 3, 'ratio': 0.0968}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 2, 'ratio': 0.0645}, {'type_id': 6, 'label': 'specific testing required', 'count': 2, 'ratio': 0.0645}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.0323}]","[{'type_id': -1, 'label': 'UNK', 'count': 23, 'ratio': 0.7419}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 4, 'ratio': 0.129}, {'type_id': 4, 'label': 'non-recrystallization region of austenite', 'count': 3, 'ratio': 0.0968}, {'type_id': 40, 'label': 'license', 'count': 1, 'ratio': 0.0323}]","[{'relation': 'utilizes', 'score': 1.9903}, {'relation': 'used_to_order', 'score': 1.9903}, {'relation': 'used_for', 'score': 1.9603}, {'relation': 'section_title', 'score': 1.0}, {'relation': 'stands_for', 'score': 0.9685}]"
6,conform_to,"['conform_to', 'conforms_in_every_detail_to', 'conforms_to']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.6667}, {'type_id': 36, 'label': 'the requirements of APi Spec Q1', 'count': 2, 'ratio': 0.2222}, {'type_id': 2, 'label': 'Table 4', 'count': 1, 'ratio': 0.1111}]","[{'relation': 'utilizes', 'score': 2.8333}, {'relation': 'used_to_order', 'score': 2.8333}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'section_of', 'score': 0.8333}]"
7,permitted_to,"['acceptable_to', 'permitted_to', 'prohibited_from']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.2}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'applies_to', 'score': 0.5107}, {'relation': 'should_specify_on_purchase_order', 'score': 0.5}]"
8,licenses,"['authorized_for_licensing_by', 'documents', 'licenses']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 0, 'label': 'API Board of Directors', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'acceptable_to', 'score': 0.5}, {'relation': 'measured_by', 'score': 0.5}]"
14,should_specify_on_purchase_order,"['should_specify_information_on', 'should_specify_on_purchase_order', 'specified_on_when_placing_orders']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
16,has_maximum_content,"['can_exceed', 'has_maximum_content', 'has_maximum_depth']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
17,has_minimum_service_temperature,"['has_minimum_average_energy_value', 'has_minimum_service_temperature', 'has_temperature_range']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
18,has_less_toughness_than,"['exhibit_reduced_toughness', 'has_hardness_range', 'has_less_toughness_than']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
22,shall_use,"['shall_control', 'shall_meet', 'shall_use']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.3333}, {'type_id': 6, 'label': 'specific testing required', 'count': 1, 'ratio': 0.3333}, {'type_id': 41, 'label': 'API Monogram and its designated license number', 'count': 1, 'ratio': 0.3333}]","[{'type_id': 41, 'label': 'API Monogram and its designated license number', 'count': 1, 'ratio': 0.3333}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.3333}, {'type_id': 1, 'label': 'latest edition of the referenced document', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'establishes_requirements_for', 'score': 1.0}, {'relation': 'provided_by', 'score': 1.0}, {'relation': 'satisfy_requirements_of', 'score': 1.0}, {'relation': 'performed_using', 'score': 0.8536}, {'relation': 'requires', 'score': 0.75}]"
30,required_to_develop_and_maintain,"['has_implemented_and_continually_maintained', 'required_to_develop_and_maintain', 'shall_maintain']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
34,marked_as,"['marked_as', 'marked_on', 'marked_with']",3,"[{'type_id': 49, 'label': 'grade = Grade 70', 'count': 1, 'ratio': 0.25}, {'type_id': 55, 'label': 'shall not be licensed under the API Monogram Program', 'count': 1, 'ratio': 0.25}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.25}, {'type_id': 7, 'label': 'products', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 36, 'label': 'the requirements of APi Spec Q1', 'count': 1, 'ratio': 0.25}]","[{'relation': 'applies_to', 'score': 1.3673}, {'relation': 'defined_as', 'score': 0.9216}, {'relation': 'utilizes', 'score': 0.8536}, {'relation': 'shows', 'score': 0.5}, {'relation': 'should_specify_on_purchase_order', 'score': 0.5}]"
36,adjacent_to,"['adjacent_to', 'performed_adjacent_to', 'perpendicular_to']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 3.0}, {'relation': 'section_title', 'score': 3.0}, {'relation': 'used_to_order', 'score': 3.0}]"
37,specified_in,"['prescribed_in', 'specified_in', 'specified_on']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.5714}, {'type_id': 6, 'label': 'specific testing required', 'count': 2, 'ratio': 0.2857}, {'type_id': 34, 'label': 'Notch toughness', 'count': 1, 'ratio': 0.1429}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.5714}, {'type_id': 2, 'label': 'Table 4', 'count': 3, 'ratio': 0.4286}]","[{'relation': 'performed_using', 'score': 1.7609}, {'relation': 'utilizes', 'score': 1.3826}, {'relation': 'made_by', 'score': 0.8826}, {'relation': 'requires', 'score': 0.75}, {'relation': 'acceptable_to', 'score': 0.5}]"
44,available_in,"['available_at', 'available_in', 'given_in']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': 28, 'label': 'Annex B', 'count': 2, 'ratio': 0.6667}, {'type_id': 0, 'label': 'API Board of Directors', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'is_informative', 'score': 2.0}, {'relation': 'provides_suggestions', 'score': 2.0}, {'relation': 'classified_as', 'score': 2.0}, {'relation': 'acceptable_to', 'score': 0.5}, {'relation': 'measured_by', 'score': 0.5}]"
45,located_at,"['certified_at', 'located_at', 'located_in']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.625}, {'type_id': 53, 'label': 'Supplementary requirement 4 (SR 4)', 'count': 3, 'ratio': 0.375}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.625}, {'type_id': 28, 'label': 'Annex B', 'count': 3, 'ratio': 0.375}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}, {'relation': 'stands_for', 'score': 0.7123}, {'relation': 'may_be_reported_using', 'score': 0.7071}]"
0,available_by_agreement,"['agreed_to_by', 'available_by_agreement']",2,"[{'type_id': 6, 'label': 'specific testing required', 'count': 1, 'ratio': 0.5}, {'type_id': 49, 'label': 'grade = Grade 70', 'count': 1, 'ratio': 0.5}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'performed_using', 'score': 0.8536}, {'relation': 'requires', 'score': 0.75}, {'relation': 'applies_to', 'score': 0.5249}, {'relation': 'utilizes', 'score': 0.5}, {'relation': 'shows', 'score': 0.5}]"
1,classified_as,"['classified_as', 'is_informative']",2,"[{'type_id': 28, 'label': 'Annex B', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'available_in', 'score': 2.0}, {'relation': 'given_in', 'score': 2.0}, {'relation': 'located_in', 'score': 1.4142}]"
2,issued_by,"['has_been_issued', 'issued_by']",2,"[{'type_id': 7, 'label': 'products', 'count': 1, 'ratio': 0.5}, {'type_id': 40, 'label': 'license', 'count': 1, 'ratio': 0.5}]","[{'type_id': 40, 'label': 'license', 'count': 1, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}]","[{'relation': 'includes_component', 'score': 0.5086}, {'relation': 'permits_use_of', 'score': 0.5}, {'relation': 'issued_by', 'score': 0.5}, {'relation': 'utilizes', 'score': 0.5}, {'relation': 'shows', 'score': 0.5}]"
9,desirable_for,"['desirable_for', 'suitable_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.5}, {'type_id': 34, 'label': 'Notch toughness', 'count': 2, 'ratio': 0.5}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 1.5}, {'relation': 'section_title', 'score': 1.0}, {'relation': 'used_to_order', 'score': 1.0}, {'relation': 'shows', 'score': 0.5}, {'relation': 'should_specify_on_purchase_order', 'score': 0.5}]"
10,used_for,"['used_by', 'used_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 20, 'ratio': 0.7692}, {'type_id': 6, 'label': 'specific testing required', 'count': 2, 'ratio': 0.0769}, {'type_id': 3, 'label': 'Accelerated cooling', 'count': 2, 'ratio': 0.0769}, {'type_id': 55, 'label': 'shall not be licensed under the API Monogram Program', 'count': 1, 'ratio': 0.0385}, {'type_id': 8, 'label': 'steel plates', 'count': 1, 'ratio': 0.0385}]","[{'type_id': -1, 'label': 'UNK', 'count': 23, 'ratio': 0.8846}, {'type_id': 40, 'label': 'license', 'count': 1, 'ratio': 0.0385}, {'type_id': 41, 'label': 'API Monogram and its designated license number', 'count': 1, 'ratio': 0.0385}, {'type_id': 46, 'label': 'Through-thickness', 'count': 1, 'ratio': 0.0385}]","[{'relation': 'permits_use_of', 'score': 1.0}, {'relation': 'combined_with', 'score': 0.9936}, {'relation': 'utilizes', 'score': 0.9935}, {'relation': 'may_perform', 'score': 0.9935}, {'relation': 'marked_in_conjunction_with', 'score': 0.5}]"
11,take_precedence_over,"['overrides', 'take_precedence_over']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
12,used_to_ensure,"['is_not_a_guarantee_of', 'used_to_ensure']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
13,used_to_order,"['prior_to', 'used_to_order']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 1.0}, {'relation': 'shall_be_included_in', 'score': 1.0}]"
19,has_postal_code,"['has_contact_email', 'has_postal_code']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
20,stamped_with,"['stamped_at', 'stamped_with']",2,"[{'type_id': 8, 'label': 'steel plates', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.6}, {'type_id': 36, 'label': 'the requirements of APi Spec Q1', 'count': 1, 'ratio': 0.2}, {'type_id': 49, 'label': 'grade = Grade 70', 'count': 1, 'ratio': 0.2}]","[{'relation': 'normal_to', 'score': 1.9082}, {'relation': 'applies_to', 'score': 0.539}, {'relation': 'shows', 'score': 0.5}]"
21,permitted_at_option_of,"['permitted_at_option_of', 'permitted_when_specified_by']",2,"[{'type_id': 6, 'label': 'specific testing required', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'performed_using', 'score': 1.7071}, {'relation': 'requires', 'score': 1.5}, {'relation': 'utilizes', 'score': 1.0}]"
23,requested_to_report_to,"['may_be_reported_using', 'requested_to_report_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
25,intend_to_provide,"['intend_to_provide', 'sufficient_to_provide']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
26,provides,"['provides', 'provides_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
27,demonstrates,"['demonstrates', 'have_demonstrated_ability']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
28,represents,"['depicts', 'represents']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
29,published_year,"['published_in', 'published_year']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
31,is_available,"['available_through', 'is_available']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
32,has_option,"['has_option', 'has_purpose']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
35,aged_for,"['aged_at', 'aged_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'relation': 'utilizes', 'score': 2.0}, {'relation': 'section_title', 'score': 2.0}, {'relation': 'used_to_order', 'score': 2.0}]"
38,performed_with_load,"['performed_using', 'performed_with_load']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 6, 'label': 'specific testing required', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'utilizes', 'score': 1.0}, {'relation': 'section_title', 'score': 1.0}, {'relation': 'used_to_order', 'score': 1.0}, {'relation': 'specified_in', 'score': 0.9074}, {'relation': 'specified_by', 'score': 0.9014}]"
