cluster_id,canonical_label,aliases,size
22,hole_diameter = 22 mm,"['Hole Diameter = 10 mm', 'Hole Diameter = 13 mm', 'Hole Diameter = 3 mm', 'Hole Diameter = 6 mm', 'hole_diameter = 16 mm', 'hole_diameter = 19 mm', 'hole_diameter = 22 mm', 'hole_diameter = 29 mm']",8
6,calibration procedure,"['Calibration Procedure', 'Flat-Bottom Hole Calibration', 'calibrate the equipment', 'calibration procedure', 'equipment calibration', 'flat bottoms of the holes', 'the following calibration and recording procedures']",7
9,raising of the notch signal,"['60 % of the screen height', 'lowering of the notch signal', 'raising of the notch signal', 'signal from the notch', 'the amplitude of the signal from the notch', 'the notch signal', 'two times the height of the signal from the notch']",7
0,water,"['couplant', 'glycerin', 'immersion', 'soluble oil', 'suitable couplant', 'water']",6
5,"5.6.2, 5.6.3, and Section 6","['5.2, 13.1, and Section 10', '5.6', '5.6.1, 5.6.2, 5.6.3, and Section 6', '5.6.2, 5.6.3, and Section 6', 'S8.4.2', 'S8.5.1 and S8.5.2']",6
12,this standard,"['Users of this standard', 'an equivalent accepted standard', 'equivalent standard', 'standard', 'this standard', 'user of this standard']",6
20,holes may be drilled in the plate to be examined,"['holes can be located without interfering', 'holes can be located without interfering with the use of the plate', 'holes drilled in a prolongation of the plate to be examined', 'holes drilled in a reference block of the same nominal composition, and thermal treatment as the plate to be examined', 'holes drilled in the plate to be examined', 'holes may be drilled in the plate to be examined']",6
4,case2,"['case1', 'case2', 'case3', 'case4', 'case_S8.5.1']",5
7,T/4,"['3 T/4', 'T /4, T /2, and 3 T /4 deep flat bottom holes', 'T/2', 'T/4', 'T/4, T/2, and 3 T/4']",5
10,"maximum amplitudes from the reflectors at T /4, T /2, and 3 T /4","['be coupled and positioned for maximum amplitudes from the reflectors at T /4, T /2, and 3 T /4', 'maximum amplitudes from the reflectors at T /4, T /2, and 3 T /4', 'maximum amplitudes from the reflectors at T/4, T/2, and 3 T/4', 'reflector giving the highest amplitude', 'reflectors']",5
17,"supplementary requirements, if any","['SUPPLEMENTARY REQUIREMENTS', 'each system shall be used independently of the other', 'supplementary requirements', 'supplementary requirements, if any', 'these supplementary requirements shall apply']",5
21,no change in instrument setting,"['instrument setting unchanged', 'instrument settings used during inspection', 'maintain this instrument setting', 'no change in instrument setting', 'without a change in instrument setting']",5
2,review every 5 years,"['all of the safety concerns associated with its use', 'responsible technical committee', 'review every 5 years', 'revision at any time']",4
19,half maximum amplitude marks for the 50 % DAC,"['half maximim amplitude marks', 'half maximim amplitude marks for the 50 % DAC', 'half maximum amplitude marks', 'half maximum amplitude marks for the 50 % DAC']",4
1,"Specifications A263, A264, and A265","['A265 Specification', 'ANSI B 46.1', 'Specifications A263, A264, and A265']",3
11,The manufacturer,"['The manufacturer', 'manufacturer', 'place of manufacture']",3
23,plate to be examined,"['examined plate', 'plate to be examined', 'prolongation of the plate to be examined']",3
24,grid scanning performed AND recordable conditions detected along a given grid line,"['continuously scan the entire surface area of the squares adjacent to the condition', 'discontinuity condition observed during general scanning', 'grid scanning performed AND recordable conditions detected along a given grid line']",3
