sort_id,title,text,page,coordinates,pruned_edges_row
39,Normative References,"ASTM A673, Standard Terminology Relating to Surface Analysis",7,"[75.33333333333333, 340.3333333333333, 344.6666666666667, 351.0]","[{'subj': 'ASTM A673', 'obj': 'Standard Terminology Relating to Surface Analysis', 'edge': 'stands_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 340.3333333333333, 344.6666666666667, 351.0]', '[75.33333333333333, 340.3333333333333, 344.6666666666667, 351.0]']}]"
40,Normative References,"ASTM E10, Standard Test Method for Brinell Hardness of Metallic Materials",7,"[75.66666666666667, 319.0, 390.6666666666667, 329.0]","[{'subj': 'ASTM E10', 'obj': 'Standard Test Method for Brinell Hardness of Metallic Materials', 'edge': 'stands_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.66666666666667, 319.0, 390.6666666666667, 329.0]']}, {'subj': 'this standard', 'obj': 'Brinell Hardness of Metallic Materials', 'edge': 'covers', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.66666666666667, 319.0, 390.6666666666667, 329.0]']}]"
41,Normative References,"ASTM E23, Standard Test Methods for Notched Bar Impact Testing of Metallic Materials",7,"[75.33333333333333, 296.33333333333337, 443.0, 307.33333333333337]","[{'subj': 'ASTM E23', 'obj': 'Standard Test Methods for Notched Bar Impact Testing of Metallic Materials', 'edge': 'stands_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 296.33333333333337, 443.0, 307.33333333333337]']}, {'subj': 'Standard Test Methods for Notched Bar Impact Testing of Metallic Materials', 'obj': 'Notched Bar Impact Testing', 'edge': 'covers', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 296.33333333333337, 443.0, 307.33333333333337]']}, {'subj': 'Standard Test Methods for Notched Bar Impact Testing of Metallic Materials', 'obj': 'Metallic Materials', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 296.33333333333337, 443.0, 307.33333333333337]']}]"
42,Normative References,"ASTM E208, Standard Test Method for Conducting Drop-Weight Test to Determine Nil-Ductility Transition Temperature of Ferritic Steels",7,"[75.33333333333333, 264.0, 514.3333333333334, 285.66666666666663]","[{'subj': 'ASTM E208', 'obj': 'Standard Test Method for Conducting Drop-Weight Test to Determine Nil-Ductility Transition Temperature of Ferritic Steels', 'edge': 'stands_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 264.0, 514.3333333333334, 285.66666666666663]']}, {'subj': 'Standard Test Method for Conducting Drop-Weight Test to Determine Nil-Ductility Transition Temperature of Ferritic Steels', 'obj': 'drop weight test', 'edge': 'covers', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 264.0, 514.3333333333334, 285.66666666666663]']}, {'subj': 'Standard Test Method for Conducting Drop-Weight Test to Determine Nil-Ductility Transition Temperature of Ferritic Steels', 'obj': 'Ferritic Steels', 'edge': 'applied_to', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 264.0, 514.3333333333334, 285.66666666666663]']}, {'subj': 'drop weight test', 'obj': 'Nil-Ductility Transition Temperature of Ferritic Steels', 'edge': 'used_for', 'title': 'Normative References', 'pages': {7}, 'coordinates_list': ['[75.33333333333333, 264.0, 514.3333333333334, 285.66666666666663]']}]"
43,Abbreviations,3 Abbreviations,7,"[75.0, 235.33333333333337, 171.33333333333334, 247.66666666666663]",[]
44,Abbreviations,ACC accelerated cooling,7,"[75.0, 212.66666666666663, 191.66666666666666, 224.0]","[{'subj': 'acc', 'obj': 'accelerated cooling', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {7}, 'coordinates_list': ['[75.0, 212.66666666666663, 191.66666666666666, 224.0]']}]"
45,Abbreviations,CP conventional preheat,7,"[75.0, 190.33333333333337, 199.0, 202.33333333333337]","[{'subj': 'CP', 'obj': 'conventional preheat', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {7}, 'coordinates_list': ['[75.0, 190.33333333333337, 199.0, 202.33333333333337]']}]"
46,Abbreviations,CR controlled rolling,7,"[75.0, 168.33333333333337, 179.33333333333334, 180.33333333333337]","[{'subj': 'CR', 'obj': 'controlled rolling', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {7}, 'coordinates_list': ['[75.0, 168.33333333333337, 179.33333333333334, 180.33333333333337]']}]"
48,Abbreviations,CTOD crack tip opening displacement,8,"[76.66666666666667, 717.3333333333334, 240.0, 728.0]","[{'subj': 'CTOD', 'obj': 'crack tip opening displacement', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 717.3333333333334, 240.0, 728.0]']}]"
49,Abbreviations,CTS controlled thermal severity,8,"[76.0, 694.6666666666666, 220.33333333333334, 706.3333333333334]","[{'subj': 'CTS', 'obj': 'controlled thermal severity', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[76.0, 694.6666666666666, 220.33333333333334, 706.3333333333334]']}]"
51,Abbreviations,modified preheat,8,"[110.0, 673.0, 182.0, 683.3333333333334]","[{'subj': 'modified preheat', 'obj': 'preheat', 'edge': 'made_by', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[110.0, 673.0, 182.0, 683.3333333333334]']}]"
52,Abbreviations,SMYS specified minimumyield strength,8,"[76.0, 651.0, 246.0, 662.6666666666666]","[{'subj': 'SMYS', 'obj': 'specified minimumyield strength', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[76.0, 651.0, 246.0, 662.6666666666666]']}]"
53,Abbreviations,SR supplementary requirement,8,"[75.66666666666667, 628.6666666666666, 225.66666666666666, 640.6666666666666]","[{'subj': 'SR', 'obj': 'supplementary requirement', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[75.66666666666667, 628.6666666666666, 225.66666666666666, 640.6666666666666]']}]"
54,Abbreviations,TMCP thermo-mechanically controlled processing,8,"[76.66666666666667, 606.6666666666666, 288.6666666666667, 618.0]","[{'subj': 'tmcp', 'obj': 'thermo-mechanically controlled processing', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 606.6666666666666, 288.6666666666667, 618.0]']}]"
55,Abbreviations,TMR thermo-mechanical rolling,8,"[76.33333333333333, 585.0, 218.66666666666666, 596.0]","[{'subj': 'TMR', 'obj': 'thermo mechanical rolling', 'edge': 'stands_for', 'title': 'Abbreviations', 'pages': {8}, 'coordinates_list': ['[76.33333333333333, 585.0, 218.66666666666666, 596.0]']}]"
56,Manufacturing,4 Manufacturing,8,"[76.66666666666667, 560.6666666666667, 175.0, 574.6666666666667]",[]
57,Manufacturing -> Steelmaking Practice,4.1 Steelmaking Practice,8,"[76.33333333333333, 541.6666666666667, 207.33333333333334, 553.3333333333333]",[]
58,Manufacturing -> Steelmaking Practice,The steel shall be made by the basic oxygen or electric furnace process.,8,"[76.66666666666667, 519.6666666666667, 377.6666666666667, 530.6666666666667]","[{'subj': 'steel', 'obj': 'basic oxygen process', 'edge': 'made_by', 'title': 'Manufacturing -> Steelmaking Practice', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 519.6666666666667, 377.6666666666667, 530.6666666666667]']}, {'subj': 'steel', 'obj': 'electric furnace process', 'edge': 'made_by', 'title': 'Manufacturing -> Steelmaking Practice', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 519.6666666666667, 377.6666666666667, 530.6666666666667]']}]"
59,Manufacturing -> Rolling,4.2 Rolling,8,"[76.33333333333333, 495.6666666666667, 140.33333333333334, 509.6666666666667]",[]
60,Manufacturing -> Rolling,4.2.1 The plates shall be produced by TMCP.,8,"[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]","[{'subj': 'plates', 'obj': 'tmcp', 'edge': 'made_by', 'title': 'Manufacturing -> Rolling', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]']}, {'subj': 'general description of the TMCP method', 'obj': 'Annex B', 'edge': 'available_in', 'title': 'Manufacturing -> Rolling', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]']}]"
60,Manufacturing -> Rolling,A general description of the TMCP method is given in Annex B.,8,"[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]","[{'subj': 'plates', 'obj': 'tmcp', 'edge': 'made_by', 'title': 'Manufacturing -> Rolling', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]']}, {'subj': 'general description of the TMCP method', 'obj': 'Annex B', 'edge': 'available_in', 'title': 'Manufacturing -> Rolling', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 464.3333333333333, 515.6666666666666, 486.3333333333333]']}]"
61,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,4.2.2 One of the following processes used to manufacture the plate shall be identified on the mill certificates:,8,"[76.66666666666667, 431.3333333333333, 515.6666666666666, 454.0]","[{'subj': 'case1', 'obj': 'one of the following processes used to manufacture the plate', 'edge': 'has_condition', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 431.3333333333333, 515.6666666666666, 454.0]']}, {'subj': 'case1', 'obj': 'identification on the mill certificates', 'edge': 'has_consequence', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 431.3333333333333, 515.6666666666666, 454.0]']}]"
62,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,thermo-mechanical rolling (TMR) alone (but may also include CR);,8,"[76.66666666666667, 408.6666666666667, 370.6666666666667, 420.3333333333333]","[{'subj': 'TMR', 'obj': 'thermo mechanical rolling', 'edge': 'stands_for', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 408.6666666666667, 370.6666666666667, 420.3333333333333]']}, {'subj': 'thermo mechanical rolling', 'obj': 'CR', 'edge': 'may_do', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 408.6666666666667, 370.6666666666667, 420.3333333333333]']}]"
63,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,TMR combined with accelerated cooling (AcC);,8,"[76.33333333333333, 386.3333333333333, 294.3333333333333, 399.0]","[{'subj': 'TMR', 'obj': 'accelerated cooling', 'edge': 'combined_with', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.33333333333333, 386.3333333333333, 294.3333333333333, 399.0]']}, {'subj': 'acc', 'obj': 'accelerated cooling', 'edge': 'stands_for', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.33333333333333, 386.3333333333333, 294.3333333333333, 399.0]']}]"
64,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,TMR combined with tempering or aging; or,8,"[76.66666666666667, 364.3333333333333, 275.0, 377.0]","[{'subj': 'TMR', 'obj': 'tempering', 'edge': 'combined_with', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 364.3333333333333, 275.0, 377.0]']}, {'subj': 'TMR', 'obj': 'aging', 'edge': 'combined_with', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[76.66666666666667, 364.3333333333333, 275.0, 377.0]']}]"
65,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,TMR combined with both ACC and tempering or aging.,8,"[77.0, 342.6666666666667, 324.0, 354.6666666666667]","[{'subj': 'TMR', 'obj': 'acc', 'edge': 'combined_with', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.0, 342.6666666666667, 324.0, 354.6666666666667]']}]"
66,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,"The manufacturer's process shall be identified with a code number or designation for ready reference, sufficient to provide traceability of process variables; it is not the intent to require the disclosure of confidential information.",8,"[77.33333333333333, 301.0, 516.6666666666666, 332.6666666666667]","[{'subj': ""the manufacturer's process"", 'obj': 'a code number or designation', 'edge': 'identified_with', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 301.0, 516.6666666666666, 332.6666666666667]']}, {'subj': ""the manufacturer's process"", 'obj': 'disclosure of confidential information', 'edge': 'satisfies_requirements_of', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 301.0, 516.6666666666666, 332.6666666666667]']}, {'subj': 'a code number or designation', 'obj': 'ready reference', 'edge': 'used_for', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 301.0, 516.6666666666666, 332.6666666666667]']}, {'subj': 'a code number or designation', 'obj': 'traceability of process variables', 'edge': 'intend_to_provide', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 301.0, 516.6666666666666, 332.6666666666667]']}]"
67,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,"When SR9 is required,the addition or deletion of tempering or aging shall be considered a major essential variable (reference API 2Z table on Tolerances for Minor and Major Changes in Melting, Casing, and Processing Variables Other ThanChemistry).",8,"[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]","[{'subj': 'case1', 'obj': 'SR9 required', 'edge': 'has_condition', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'addition or deletion of tempering or aging', 'edge': 'has_consequence', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'SR 9 not required', 'edge': 'has_condition', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'tempering performed or aging performed', 'edge': 'has_condition_or', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'tempering or aging temperature included on the mill certificates', 'edge': 'has_consequence', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'addition or deletion of tempering or aging', 'obj': 'major essential variable', 'edge': 'considered_as', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'manufacturer', 'obj': 'addition or deletion of tempering or aging', 'edge': 'has_discretion_over', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}]"
67,Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates,"If SR 9 is not required, addition ordeletion of tempering or aging shall be at the discretion of the manufacturer.",8,"[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]","[{'subj': 'case1', 'obj': 'SR9 required', 'edge': 'has_condition', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'addition or deletion of tempering or aging', 'edge': 'has_consequence', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'SR 9 not required', 'edge': 'has_condition', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'tempering performed or aging performed', 'edge': 'has_condition_or', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'case1', 'obj': 'tempering or aging temperature included on the mill certificates', 'edge': 'has_consequence', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'addition or deletion of tempering or aging', 'obj': 'major essential variable', 'edge': 'considered_as', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}, {'subj': 'manufacturer', 'obj': 'addition or deletion of tempering or aging', 'edge': 'has_discretion_over', 'title': 'Manufacturing -> Rolling -> One of the following processes used to manufacture the plate shall be identified on the mill certificates', 'pages': {8}, 'coordinates_list': ['[77.33333333333333, 235.66666666666663, 516.6666666666666, 289.33333333333337]']}]"
